,a101_vol_xs_z_product_112h,a101_volume_cap_alpha_min_56_84,a101_volume_cap_alpha_min_80_80,a101_volume_high_alpha_min_84_84,a101_volume_low_alpha_min_84_120,a101_volume_xs_z_mean_neg_112h,amihud_illiquidity_20h,bb_zscore_20h,breakout_dist_20h,breakout_dist_48h,candle_body,candle_wick_lower,candle_wick_upper,clv_20h,downside_vol_20h,ema_12_26_gap,funding_rate_change_24h,funding_rate_level_20h,funding_rate_zscore_80h,intraday_ret,klow_close,ksft_5h,ma_gap_10_40,ma_gap_20_80,ma_gap_5_20,mom_10h,mom_120h,mom_20h,mom_40h,mom_5h,mom_72h,mom_accel_20h,mom_vol_adjusted_20h,price_pos_120h,price_pos_24h,price_pos_72h,price_volume_corr_20h,q158_beta_20h,q158_beta_30h,q158_close_close_4h,q158_cntd_20h,q158_cntd_30h,q158_cntn_20h,q158_cntn_30h,q158_cntp_20h,q158_cntp_30h,q158_cord_20h,q158_corr_20h,q158_high_close_0h,q158_high_close_1h,q158_high_close_2h,q158_high_close_3h,q158_high_close_4h,q158_high_low_range,q158_imax_20h,q158_imax_30h,q158_imin_20h,q158_imxd_20h,q158_klen_open,q158_klow_open,q158_klow_range,q158_kmid_open,q158_kmid_range,q158_ksft_open,q158_ksft_range,q158_kup_open,q158_kup_range,q158_low_close_0h,q158_low_close_1h,q158_low_close_2h,q158_low_close_3h,q158_low_close_4h,q158_ma_10h,q158_ma_20h,q158_ma_30h,q158_ma_5h,q158_ma_60h,q158_max_10h,q158_max_20h,q158_max_30h,q158_max_5h,q158_max_60h,q158_min_10h,q158_min_20h,q158_min_30h,q158_min_5h,q158_min_60h,q158_open_close_0h,q158_open_close_1h,q158_open_close_2h,q158_open_close_3h,q158_open_close_4h,q158_qtld_20h,q158_qtld_30h,q158_qtlu_20h,q158_qtlu_30h,q158_rank_close_20h,q158_rank_close_30h,q158_resi_20h,q158_resi_30h,q158_roc_20h,q158_rsqr_20h,q158_rsqr_30h,q158_rsv_20h,q158_rsv_30h,q158_std_10h,q158_std_20h,q158_std_30h,q158_std_5h,q158_std_60h,q158_sumd_20h,q158_sumd_30h,q158_sumn_20h,q158_sump_20h,q158_vma_20h,q158_volume_ratio_1h,q158_volume_ratio_2h,q158_volume_ratio_3h,q158_volume_ratio_4h,q158_vstd_20h,q158_vsumd_20h,q158_vsumn_20h,q158_vsump_20h,q158_wvma_20h,qvol_ma_ratio_20_80,qvol_ma_ratio_5_20,qvol_zscore_20h,qvol_zscore_48h,range_1h,range_24h,range_4h,range_breakout_vol_confirm_20h,realized_kurt_20h,realized_skew_20h,rev_10h,rev_1h,rev_24h,rev_2h,rev_3h,rev_72h,reversal_5h,rsi_14h,rsi_28h,rsi_7h,taker_buy_delta_5h,taker_buy_ratio_20h,taker_buy_zscore_20h,tech_atr,tech_macd,trend_efficiency_24h,up_down_vol_ratio_20h,vol_40h,vol_5h,vol_of_vol_20h,vol_ratio_20_80,vol_ratio_5_20,vol_ret_corr_20h,vol_zscore_20h,vol_zscore_48h,volatility_20h,volume_pressure_20h,vwap_dev_20h,williams_r_14h,wq101_alpha1,wq101_alpha10,wq101_alpha101,wq101_alpha11,wq101_alpha12,wq101_alpha13,wq101_alpha2,wq101_alpha21,wq101_alpha23,wq101_alpha24,wq101_alpha25,wq101_alpha28,wq101_alpha3,wq101_alpha30,wq101_alpha32,wq101_alpha33,wq101_alpha34,wq101_alpha35,wq101_alpha37,wq101_alpha38,wq101_alpha4,wq101_alpha40,wq101_alpha41,wq101_alpha42,wq101_alpha43,wq101_alpha44,wq101_alpha45,wq101_alpha46,wq101_alpha47,wq101_alpha49,wq101_alpha5,wq101_alpha50,wq101_alpha51,wq101_alpha52,wq101_alpha53,wq101_alpha54,wq101_alpha55,wq101_alpha6,wq101_alpha60,wq101_alpha61,wq101_alpha65,wq101_alpha68,wq101_alpha7,wq101_alpha74,wq101_alpha75,wq101_alpha77,wq101_alpha78,wq101_alpha8,wq101_alpha83,wq101_alpha85,wq101_alpha86,wq101_alpha88,wq101_alpha9,wq101_alpha92,wq101_alpha94,wq101_alpha95,wq101_alpha99,wvma_20h,xs_rank_mom_accel,xs_rank_ret_1h,xs_rank_vol
a101_vol_xs_z_product_112h,1.0,,,,,-0.423504,,,,,,,,,,,,,,,,,0.020843,,,,,,0.051033,,,0.018561,,,-0.025477,,,,0.018315,,,-0.015278,,0.014408,,-0.016119,,,,,,,,,,-0.093454,,,,,,,,,,,,,,,,,,,-0.038631,,,,,0.005807,,,,,0.050337,,,,,,,,,-0.010194,,-0.069219,,0.049481,,0.030353,,,0.015744,,-0.020646,,,-0.051575,,,,0.070295,,,,,,,,,,,,,,,,,,-0.013796,,,,,,,-0.01051,,,,,,0.109192,,,,,,,-0.080052,,0.01733,,0.011001,,,,,,,,,,,,,,,,,,,,,0.001886,,,,,,-0.017614,,,,,,,-0.005018,,,,,,,,,-0.001802,,,,,,,,0.082828,,,,-0.017848,,,,-0.032913,,,,,,,,,0.018013,,
a101_volume_cap_alpha_min_56_84,,1.0,,,0.631874,,,,,-0.023852,,,,,,,,,,,,,,,,,-0.299633,,,,,,,-0.097971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135052,,,,,-0.042282,,,,,0.211548,,,,,,,,,,,,,,,,,,,,,,,-0.130438,,,,,,,,,,,,,,,,,,0.057951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066591,,,,,,,,,,,,,,-0.191384,,,,,,,,,0.01694,,,,,,,,,,,,,,,,,,,,,-0.059895,,,,,0.030864,,-0.015778,,,,0.000354,,,0.035729,,,,,,,
a101_volume_cap_alpha_min_80_80,,,1.0,0.864037,,,0.107449,-0.025061,0.00095,,0.007839,0.022,0.019432,0.062645,-0.114813,-0.10388,,-0.074233,0.031649,-0.007151,-0.091791,-0.03416,,-0.134566,-0.070213,-0.064584,,-0.075419,,-0.042284,-0.167614,,-0.047991,,,0.031439,-0.098956,-0.058987,,0.027527,0.025312,,-0.012132,,0.038608,,-0.099669,-0.067419,-0.100608,-0.052811,-0.02847,-0.012726,0.001323,-0.146216,0.06189,,0.015305,0.027428,-0.142456,-0.09186,0.021084,-0.007151,0.007945,-0.008727,0.00806,-0.078729,0.018588,0.097982,0.063577,0.057224,0.058544,0.062285,0.043238,0.057673,,0.019581,,-0.149053,-0.105892,,-0.124619,,0.13859,0.117969,,0.122214,,0.004349,0.010706,0.019576,0.027638,0.035383,0.09584,,-0.003122,,-0.023489,,-0.002704,,0.064372,0.00604,,0.001177,,-0.189312,-0.167238,,-0.157471,,-0.053286,,0.053286,-0.053286,0.036749,0.003084,-0.001132,-0.003849,-0.002816,0.03997,-0.077043,0.077043,-0.077043,-0.026509,-0.00253,-0.080657,-0.052594,,-0.146216,,-0.180226,-0.076023,-0.06019,-0.10573,0.064584,0.00685,,0.014727,0.024882,0.167614,0.042284,-0.055811,,-0.035788,-0.000727,0.02541,-0.002328,0.241114,0.002539,,-0.006682,,-0.165492,,0.003965,-0.038955,-0.08819,-0.051768,,-0.185739,-0.150328,-0.020522,-0.011643,-0.001793,0.006225,-0.017493,-0.005153,-0.001305,0.007628,0.021949,-0.009925,-0.040866,,0.013289,,,-0.017577,-0.002661,-0.009083,0.015869,,,0.00502,0.000184,-0.030478,-0.002224,-0.536154,,,,-0.022736,0.038793,0.009091,-0.006528,0.051181,0.009091,,0.002664,-0.012975,,0.073431,-0.001435,,-0.072335,,-0.000816,0.015193,,,,-0.00174,-0.000528,,,0.002792,0.008852,,-0.101388,-0.056036,-0.000268,-0.138103,,0.025035,-0.330755
a101_volume_high_alpha_min_84_84,,,0.864037,1.0,,,0.137266,-0.001352,0.020419,,0.018053,0.008558,0.012002,0.025194,-0.120628,-0.107499,,-0.224347,-0.055321,0.00682,-0.095255,-0.022558,,-0.171427,-0.035091,-0.023979,,-0.053987,,-0.015451,-0.163902,,-0.024089,,,0.006035,-0.057027,-0.03321,,0.005835,0.021879,,-0.003417,,0.040429,,-0.060409,-0.054475,-0.09213,-0.055757,-0.038247,-0.025835,-0.016229,-0.12081,0.039127,,0.023853,0.00874,-0.116968,-0.095674,0.007501,0.00682,0.018191,0.004506,0.014575,-0.079756,0.011099,0.07265,0.039823,0.034907,0.035087,0.034582,0.013157,0.023409,,-0.000419,,-0.132948,-0.116688,,-0.1146,,0.082206,0.100869,,0.077054,,-0.008559,-0.005502,0.002001,0.006065,0.010689,0.065181,,-0.029645,,-0.00071,,0.01274,,0.041499,-0.006439,,0.020666,,-0.126183,-0.158166,,-0.106348,,-0.027614,,0.027614,-0.027614,-0.014467,-0.009147,-0.018125,-0.026892,-0.014858,-0.015451,-0.01704,0.01704,-0.01704,-0.046672,-0.063512,-0.016006,-0.003157,,-0.12081,,-0.141347,-0.064499,-0.068761,-0.02375,0.023979,-0.007322,,-0.002659,0.005925,0.163902,0.015451,-0.037145,,-0.009599,0.003261,-0.030246,0.012,0.30402,0.015752,,-0.002829,,-0.113492,,-0.001696,0.000174,-0.048535,-0.002562,,-0.169628,-0.166388,0.003091,-0.041591,-0.005243,0.00696,-0.020828,-0.003117,0.0025,0.007162,0.021813,0.007624,-0.054344,,0.013292,,,-0.008554,-0.002629,-0.011952,0.014531,,,-0.002203,-9e-05,-0.030803,0.013483,-0.604698,,,,-0.039538,0.045184,0.008645,-0.006059,0.031435,0.008645,,0.000831,-0.016785,,0.083583,-0.006517,,-0.071819,,0.003595,0.007185,,,,-0.001605,-0.000564,,,-0.000818,0.007137,,-0.111461,-0.057602,-0.003195,-0.134316,,0.03658,-0.40736
a101_volume_low_alpha_min_84_120,,0.631874,,,1.0,,,,,0.010167,,,,,,,,,,,,,,,,,-0.184896,,,,,,,-0.063605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078892,,,,,-0.083855,,,,,0.13232,,,,,,,,,,,,,,,,,,,,,,,-0.138782,,,,,,,,,,,,,,,,,,0.014382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018668,,,,,,,,,,,,,,-0.148885,,,,,,,,,0.014642,,,,,,,,,,,,,,,,,,,,,-0.0494,,,,,0.02993,,-0.03233,,,,0.004131,,,0.035228,,,,,,,
a101_volume_xs_z_mean_neg_112h,-0.423504,,,,,1.0,,,,,,,,,,,,,,,,,0.042674,,,,,,0.040736,,,0.013941,,,0.026027,,,,0.052449,,,-0.073348,,0.07307,,-0.073421,,,,,,,,,,0.043729,,,,,,,,,,,,,,,,,,,-0.076551,,,,,-0.138671,,,,,0.000274,,,,,,,,,-0.037554,,-0.104129,,0.004536,,0.031874,,,-0.098465,,0.013579,,,-0.065991,,,,-0.00842,,,,,,,,,,,,,,,,,,-0.110874,,,,,,,-0.06416,,,,,,0.019902,,,,,,,-0.042824,,-0.089442,,-0.186822,,,,,,,,,,,,,,,,,,,,,-0.001617,,,,,,0.004431,,,,,,,0.000975,,,,,,,,,0.006401,,,,,,,,0.006643,,,,0.049951,,,,0.02047,,,,,,,,,0.006846,,
amihud_illiquidity_20h,,,0.107449,0.137266,,,1.0,-0.007933,-0.003581,,0.00688,8e-06,-0.025093,4.6e-05,-0.043609,-0.027933,,0.190646,0.025104,0.005435,-0.011312,-0.000934,,-0.04874,-0.007534,-0.002317,,-0.015062,,0.005348,-0.046479,,-0.009199,,,-0.037463,-0.031555,-0.007852,,-0.008552,-0.019779,,-0.069789,,-0.108387,,-0.025732,-0.02425,-0.032665,-0.025755,-0.023036,-0.021946,-0.02044,-0.032566,0.012763,,-0.032448,0.026257,-0.032451,-0.01122,0.005179,0.005435,0.006907,0.013175,0.015403,-0.030458,-0.020554,0.014208,0.005919,0.003428,0.002275,0.001331,-0.007282,-0.000834,,-0.009481,,-0.050702,-0.054173,,-0.047251,,0.034299,0.048549,,0.029406,,-0.006601,-0.008437,-0.008554,-0.008216,-0.007924,0.026793,,-0.027189,,-0.009476,,0.014059,,0.008256,-0.024464,,-0.005511,,-0.052048,-0.070816,,-0.042148,,-0.010102,,0.010102,-0.010102,0.081814,0.072211,0.05545,0.042246,0.05078,0.121434,0.013955,-0.013955,0.013955,0.025877,-0.056147,0.002368,0.010533,,-0.032566,,-0.050308,0.013871,-0.028699,0.005436,0.002317,-0.005601,,-0.007049,-0.006681,0.046479,-0.005348,-0.012987,,-0.001925,-0.00029,0.021536,0.001056,-0.044559,0.003825,,-0.083671,,-0.04086,,0.020161,-0.00602,-0.025882,0.010814,,-0.050816,-0.009279,0.001122,-0.003472,-0.011564,0.011739,0.007064,0.013663,0.002749,0.031583,0.077553,0.006364,0.009428,,-0.024657,,,0.073476,0.050245,-0.029411,-0.016692,,,-0.026705,0.008984,-0.026784,0.00124,-0.110031,,,,-0.008334,0.155353,-0.003573,-0.04314,0.03602,-0.008056,,-0.003264,-0.016259,,-0.000443,-0.024489,,-0.1038,,0.023953,-0.00629,,,,-0.016729,-0.006691,,,0.011011,-5.6e-05,,-0.123478,-0.057405,-0.050235,-0.026524,,0.005882,-0.353377
bb_zscore_20h,,,-0.025061,-0.001352,,,-0.007933,1.0,0.922975,,0.402594,-0.075608,0.081685,0.457597,-0.213164,0.511644,,0.045562,0.094167,0.410843,-0.06964,0.152445,,0.138026,0.638691,0.705274,,0.604425,,0.665458,0.304371,,0.749216,,,0.642392,0.451425,0.575076,,-0.646486,0.569992,,-0.540441,,0.547712,,0.461661,0.362493,-0.165591,-0.401729,-0.511841,-0.58317,-0.631908,0.052763,-0.58748,,0.591973,-0.684911,0.070827,-0.063864,-0.075134,0.410843,0.402357,0.30557,0.294262,0.144028,0.081026,-0.251089,-0.450476,-0.547986,-0.609806,-0.65339,-0.763939,-0.793306,,-0.638372,,-0.477186,-0.522277,,-0.374126,,-0.523768,-0.560327,,-0.438738,,-0.40802,-0.527522,-0.598045,-0.64638,-0.680054,-0.720067,,-0.734365,,0.959004,,0.455109,,-0.642584,-0.043318,,0.922984,,0.018305,-0.00602,,0.032785,,0.758264,,-0.758264,0.758264,-0.038761,-0.02234,-0.022645,-0.023421,-0.025766,-0.025176,0.070767,-0.070767,0.070767,0.02032,0.088178,0.104206,0.085969,,0.052763,,0.027893,0.618484,0.058035,0.310351,-0.705274,-0.41152,,-0.526883,-0.59427,-0.304371,-0.665458,0.878286,,0.943037,0.068323,0.222744,0.134976,-0.003135,0.132872,,0.611306,,0.067169,,0.04289,0.024683,0.453482,0.053089,,0.050642,0.172375,0.816103,-0.896221,-0.164477,0.007263,0.329146,0.040475,-0.055302,-0.082757,-0.256587,-0.39789,-0.062189,,-0.007184,,,-0.14931,0.044441,-0.270607,0.058532,,,-0.396365,-0.223701,-0.346401,-0.050351,0.063372,,,,-0.421253,0.3127,-0.053073,0.283951,-0.050377,-0.038328,,-0.06728,-0.263843,,-0.229669,-0.313135,,-0.019103,,-0.367545,-0.038102,,,,0.209005,-0.129972,,,-0.033233,-0.06312,,0.100523,0.00156,-0.206913,0.043925,,0.243378,0.027483
breakout_dist_20h,,,0.00095,0.020419,,,-0.003581,0.922975,1.0,,0.372582,-0.039504,0.044575,0.531075,-0.239601,0.526622,,0.09171,0.133949,0.353128,-0.027746,0.12596,,0.122955,0.645206,0.655463,,0.629454,,0.575619,0.266541,,0.78757,,,0.653615,0.400662,0.620888,,-0.55489,0.606407,,-0.57624,,0.581419,,0.412465,0.189563,-0.17104,-0.353721,-0.442102,-0.504149,-0.54966,0.034396,-0.61065,,0.61693,-0.712859,0.048262,-0.023399,-0.038962,0.353128,0.372399,0.292996,0.294731,0.080335,0.044121,-0.229534,-0.386795,-0.466517,-0.521585,-0.563344,-0.674931,-0.758452,,-0.545345,,-0.481908,-0.594405,,-0.356339,,-0.506738,-0.594629,,-0.404438,,-0.351528,-0.447411,-0.509298,-0.554828,-0.589774,-0.673644,,-0.709045,,0.920487,,0.320904,,-0.67248,-0.067069,,0.999983,,-1.2e-05,-0.040132,,0.017064,,0.790924,,-0.790924,0.790924,-0.043303,-0.021534,-0.01967,-0.02108,-0.023848,-0.033699,0.06332,-0.06332,0.06332,0.014909,0.079438,0.099895,0.087183,,0.034396,,0.016765,0.195803,0.051599,0.28614,-0.655463,-0.353464,,-0.445485,-0.50454,-0.266541,-0.575619,0.849476,,0.898897,0.058418,0.215014,0.112601,-0.024989,0.126525,,0.622127,,0.045483,,0.053948,0.027424,0.399319,0.055727,,0.023916,0.17666,0.819001,-0.92598,-0.147797,0.018176,0.298381,0.01251,-0.04243,-0.078233,-0.223905,-0.345992,-0.048212,,0.001624,,,-0.111624,0.023096,-0.242001,0.063715,,,-0.348795,-0.197441,-0.255584,-0.040664,0.047764,,,,-0.30751,0.269433,-0.047182,0.286931,-0.032778,-0.036812,,-0.055775,-0.271867,,-0.110176,-0.309262,,-0.008665,,-0.298532,-0.019108,,,,0.153859,-0.138654,,,-0.021422,-0.054733,,0.078357,-0.008163,-0.149808,0.017883,,0.22145,0.034727
breakout_dist_48h,,-0.023852,,,0.010167,,,,,1.0,,,,,,,,,,,,,,,,,0.298807,,,,,,,0.74048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.697521,,,,,-0.532949,,,,,-0.499647,,,,,,,,,,,,,,,,,,,,,,,-0.110708,,,,,,,,,,,,,,,,,,0.092847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048417,,,,,,,,,,,,,,-0.07664,,,,,,,,,0.055492,,,,,,,,,,,,,,,,,,,,,0.062587,,,,,-0.072197,,-0.02975,,,,-0.032945,,,-0.09619,,,,,,,
